Name,Price,Features,Ratings,Sentiments,Scaled_Ratings,Cluster
Lenovo LOQ Intel Core i7 13th Gen 13650HX - (16 GB/512 ...,"₹86,990","15.6 inch, Luna Grey, 2.38 kg, With MS Office",4.1,Positive,0.82,0
Lenovo LOQ Intel Core i7 13th Gen 13650HX - (24 GB/512 ...,"₹99,990","15.6 inch, Luna Grey, 2.38 Kg, With MS Office",4.3,Positive,0.86,1
MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/1 TB...,"₹77,990","15.6 Inch, Cosmos Gray, 1.86 Kg",4.9,Positive,0.9800000000000001,1
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 ...,"₹73,990","15.6 inch, Luna Grey, 2.38 Kg, With MS Office",4.3,Positive,0.86,1
Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS - (12 GB/512 GB...,"₹54,990","15.6 Inch, Luna Grey, 2.38 Kg, With MS Office",4.4,Positive,0.8800000000000001,1
MSI Katana A15 AI AMD Ryzen 7 Octa Core 8845HS - (16 GB...,"₹96,990","15.6 Inch, Black, 2.25 Kg",4.4,Positive,0.8800000000000001,1
MSI Thin 15 Intel Core i7 12th Gen 12650H - (16 GB/1 TB...,"₹62,990","15.6 Inch, Cosmos Grey, 1.86 Kg",4.1,Positive,0.82,0
Colorful Evol P15 Intel Core i5 12th Gen 12500H - (16 G...,"₹59,990","15.6 Inch, Steel Grey, 2.4 Kg",4.5,Positive,0.9,1
"Elixora IceStorm RGB Gaming Phone Cooler , Silent Cooli...","₹1,419","Multicolor, For Android, iOS",3.8,Negative,0.76,0
ASUS AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/W...,"₹60,990","15.6 Inch, Graphite Black, 2.30 Kg",3.3,Negative,0.66,0
Colorful P15 Intel Core i7 13th Gen 13620H - (16 GB/512...,"₹83,990","15.6 Inch, Gray, 2.4 Kg",4.5,Positive,0.9,1
Colorful P15 Intel Core i7 12th Gen 12650H - (16 GB/512...,"₹73,990","15.6 Inch, Gray, 2.4 Kg",4.3,Positive,0.86,1
MSI Thin 15 Intel Core i7 13th Gen 13620H - (16 GB/1 TB...,"₹89,790","15.6 Inch, Cosmos Gray, 1.86 Kg",3.8,Negative,0.76,0
Acer Predator Neo Intel Core i5 13th Gen 13500HX - (16 ...,"₹94,990","16 Inch, Obsidian Black, 2.6 Kg",4.4,Positive,0.8800000000000001,1
ASUS TUF A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 ...,"₹59,990","15.6 inch, Graphite Black, 2.2 kg, With MS Office",3.0,Neutral,0.6000000000000001,0
Lenovo Legion 5 Intel Core i7 13th Gen 13650HX - (24 GB...,"₹1,12,990","15.6 Inch, Storm Grey, 2.32 Kg, With MS Office",4.6,Positive,0.9199999999999999,1
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (8 G...,"₹53,990","15.6 Inch, Graphite Black, 2.30 Kg",3.8,Negative,0.76,0
HP Omen Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD...,"₹1,16,990","16.1 inch, Shadow Black, 2.32 Kg, With MS Office",4.2,Positive,0.8400000000000001,0
MSI Crosshair 16 HX Intel Core i7 14th Gen 14700HX - (1...,"₹1,39,990","16 Inch, Cosmos Gray, 2.5 Kg",4.6,Positive,0.9199999999999999,1
HP Victus AMD Ryzen 7 Octa Core 8845HS - (16 GB/512 GB ...,"₹87,990","15.6 Inch, Performance Blue, 2.29 Kg",4.0,Positive,0.8,0
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 ...,"₹94,990","15.6 Inch, Mecha Gray, 2.20 Kg, With MS Office",4.7,Positive,0.9400000000000001,1
HP OMEN Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SS...,"₹1,34,990","16.1 inch, Shadow Black, 2.32 Kg, With MS Office",4.0,Positive,0.8,0
Acer Predator Neo Intel Core i7 13th Gen 13700HX - (16 ...,"₹1,04,990","16 Inch, Obsidian Black, 2.6 Kg",4.4,Positive,0.8800000000000001,1
MSI Katana 17 Intel Core i7 13th Gen 13620H - (16 GB/1 ...,"₹97,990","17.3 Inch, Black, 2.6 Kg",4.5,Positive,0.9,1
HP Victus Intel Core i7 13th Gen 13700H - (16 GB/512 GB...,"₹1,07,999","15.6 Inch, Performance Blue, 2.37 Kg, With MS Office",4.5,Positive,0.9,1
Lenovo LOQ Intel Core i7 13th Gen 13650HX - (24 GB/512 ...,"₹94,990","15.6 inch, Luna Grey, 2.38 Kg, With MS Office",4.3,Positive,0.86,1
"ASUS Vivobook 16X for Creator, Intel Core i7 12th Gen 1...","₹69,990","16 Inch, Cool Silver, 1.80 Kg, With MS Office",4.3,Positive,0.86,1
Colorful XS Series Intel Core i5 12th Gen 12500H - (16 ...,"₹47,990","15.6 Inch, Grey, 1.99 Kg",4.4,Positive,0.8800000000000001,1
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (8 G...,"₹52,990","15.6 inch, Graphite Black, 2.30 Kg",4.2,Positive,0.8400000000000001,0
