Name,Price,Features,Ratings,Sentiments
MSI Crosshair 16 HX Intel Core i7 14th Gen 14700HX - (3...,"₹1,69,990","16 Inch, Cosmos Gray, 2.5 Kg",4.5,Positive
MSI Sword 16 HX Intel Core i7 14th Gen 14700HX - (16 GB...,"₹1,17,990","16 Inch, Cosmos Gray, 2.3 Kg",4.7,Positive
MSI Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/W...,"₹82,990","15.6 Inch, Black, 1.86 Kg",4.5,Positive
MSI Crosshair 16 HX Intel Core i7 14th Gen 14700HX - (1...,"₹1,39,990","16 Inch, Cosmos Gray, 2.5 Kg",4.6,Positive
HP Victus AMD Ryzen 7 Octa Core 8845HS - (16 GB/512 GB ...,"₹87,990","15.6 Inch, Performance Blue, 2.29 Kg",4.0,Positive
ASUS ROG Strix G16 with 90WHr Battery Intel HX-Series I...,"₹1,59,990","16 Inch, Gray, 2.50 Kg, With MS Office",4.4,Positive
MSI Sword 16 HX Intel Core i7 13th Gen 13700HX - (16 GB...,"₹1,07,990","16 Inch, Cosmos Gray, 2.3 Kg, With MS Office",4.7,Positive
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 ...,"₹83,990","15.6 Inch, Mecha Gray, 2.20 Kg",4.5,Positive
"ASUS ROG Zephyrus G16 (2024) - AI PC, with 90W battery,...","₹2,49,990","16 Inch, Platinum White, 1.85 Kg, With MS Office",0.0,Negative
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/51...,"₹50,990","15.6 Inch, Charcoal Black, 2.1 Kg",4.1,Positive
ASUS TUF Gaming F15 with 90WHr Battery Intel Core i5 11...,"₹72,990","15.6 Inch, Graphite Black, 2.30 Kg",4.4,Positive
TooHype Shooter Controller Gaming Trigger Fire Free But...,₹189,"Black, Red, For Android, iOS",3.6,Negative
PORTLIX Finger Sleeve For PUBG/FREE FIRE/CALL OF DUTY a...,₹150,"Black&Blue, For Android, iOS",4.1,Positive
Lenovo LOQ AI Powered AMD Ryzen 7 Octa Core 7840HS - (1...,"₹75,990","15.6 Inch, Storm Grey, 2.4 kg, With MS Office",4.2,Positive
